trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.5, 'e': 0.93086157965665328}",20,0,-75.30798488303938,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.92757351463848225}",20,0,-71.33480750692635,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.92414181997875655}",25,0,-101.33284007828914,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.92056145081602159}",20,0,-103.08807812803883,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.91682730350607766}",20,0,-53.10041251807381,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.91293422755972864}",20,0,-27.25282563955879,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.90887703898514383}",30,0,-175.16910947495572,"{0: 14, 1: 3, 2: 10, 3: 2, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.90465053510089055}",20,0,-105.40486549712497,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9002495108803148}",20,15,-30.59886742160916,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.89566877688099866}",20,0,-35.0069005270636,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.89090317880438707}",20,0,-82.96601490654491,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.88594761872020911}",30,0,-52.89093093269096,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.88079707797788231}",20,0,-121.90704689950678,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.87544664181258358}",25,0,-89.26830757012706,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.86989152563700212}",20,0,-100.01738435460211,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.86412710299090578}",25,0,-126.86686300216655,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.85814893509951229}",25,0,-51.12486636895369,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.85195280196831058}",20,0,-49.6181250652527,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.84553473491646525}",20,0,-84.74039496003857,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.83889105042341472}",25,0,-192.08745546224142,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.83201838513392445}",20,0,-71.62233895372816,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.82491373183596017}",30,17,-83.22243736351288,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.81757447619364365}",25,0,-70.04174535373724,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.80999843398468707}",20,0,-33.852010458006404,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.8021838885585818}",20,0,-82.80957683013997,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.79412962819905275}",25,0,-159.59026183900716,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.78583498304255861}",20,0,-80.64260563452676,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.77729986117469108}",20,0,-156.16497919773926,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
77,False,"{'a': 0.5, 'e': 0.76852478349901776}",25,0,-45.08929665311888,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.75951091694911099}",20,0,-36.77259263966026,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.75026010559511769}",25,0,-130.99214981043815,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.740774899182154}",30,6,-36.892332422344595,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.7310585786300049}",20,0,-60.842236597680056,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.72111517802286307}",25,0,-72.79054689879246,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.71094950262500389}",35,0,-72.88233090821319,"{0: 24, 1: 6, 2: 4, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.700567142473973}",20,0,-137.39639967542814,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.6899744811276125}",20,0,5.145359997410372,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.67917869917539297}",30,0,-28.37724299663857,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.66818777216816616}",25,2,-85.90165645268672,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.65701046267349883}",30,0,-66.66346158149143,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.6456563062257954}",35,0,-136.559940179676,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.63413559101080075}",30,0,-48.652448252042355,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.62245933120185459}",25,0,-6.6160706197288945,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.61063923394922204}",20,8,-9.739213222814815,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.598687660112452}",30,0,-118.95851408254667,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.58661757891733013}",25,0,-113.774957589095,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.57444251681165903}",20,6,3.5730160050046065,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
