trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'e': 0.94213304472363901, 'a': 0.5}",25,0,-107.70884728439272,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
71,False,"{'e': 0.9370266439430035, 'a': 0.5}",30,12,-58.79017529760201,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 0}",1
72,False,"{'e': 0.93150239627567399, 'a': 0.5}",20,0,-83.90526022400988,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
73,False,"{'e': 0.92553205483397194, 'a': 0.5}",25,0,-83.23336436636524,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
74,False,"{'e': 0.91908653278453467, 'a': 0.5}",25,0,-164.1989318829361,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
75,False,"{'e': 0.91213608517069877, 'a': 0.5}",25,0,-186.99880620525337,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
76,False,"{'e': 0.90465053510089055, 'a': 0.5}",25,0,-168.72980360271058,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
77,False,"{'e': 0.89659954854175039, 'a': 0.5}",30,0,-224.5568306360036,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",1
78,False,"{'e': 0.88795296144300973, 'a': 0.5}",20,0,-79.85036143600806,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
79,False,"{'e': 0.87868116210826308, 'a': 0.5}",30,0,-179.35483492876978,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
80,False,"{'e': 0.86875553056147659, 'a': 0.5}",20,0,-141.20654336747182,"{0: 7, 1: 7, 2: 2, 3: 3, 4: 1}",0
81,False,"{'e': 0.85814893509951229, 'a': 0.5}",20,0,-75.29125179668078,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
82,False,"{'e': 0.84683628423491386, 'a': 0.5}",35,19,-81.24998662589559,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
83,False,"{'e': 0.83479512980938542, 'a': 0.5}",20,0,-99.65504595483074,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
84,False,"{'e': 0.82200631421375348, 'a': 0.5}",20,0,-148.71666886554607,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
85,False,"{'e': 0.80845465143853257, 'a': 0.5}",25,0,-165.90901360850216,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
86,False,"{'e': 0.79412962819905253, 'a': 0.5}",25,0,-127.49199852682767,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
87,False,"{'e': 0.77902610777981218, 'a': 0.5}",20,0,-61.26905170860486,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
88,False,"{'e': 0.76314501572685545, 'a': 0.5}",25,9,-39.00816759846689,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
89,False,"{'e': 0.74649398333766215, 'a': 0.5}",20,8,-2.2964706495124045,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
90,False,"{'e': 0.72908792234930653, 'a': 0.5}",30,12,-27.580285752960382,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
91,False,"{'e': 0.71094950262500389, 'a': 0.5}",25,0,-207.07875376428694,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
92,False,"{'e': 0.69210950430178819, 'a': 0.5}",20,0,-106.20078076733684,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
93,False,"{'e': 0.67260701706776038, 'a': 0.5}",25,0,-17.16554599328337,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
94,False,"{'e': 0.6524894621927444, 'a': 0.5}",20,0,-15.012378489642675,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
95,False,"{'e': 0.63181241773610164, 'a': 0.5}",25,0,-41.02442590566189,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",1
96,False,"{'e': 0.61063923394922204, 'a': 0.5}",25,0,-135.3048425374281,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
97,False,"{'e': 0.58904043405866513, 'a': 0.5}",20,4,-15.160904479697013,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
98,False,"{'e': 0.56709290496545428, 'a': 0.5}",25,0,-70.55579838920136,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
99,False,"{'e': 0.54487889237358011, 'a': 0.5}",25,0,-75.35417915722289,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
100,False,"{'e': 0.52248482479180014, 'a': 0.5}",25,0,-70.39818522506529,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
